# t  tau  phi  dphi  a  H  zppz  N
25.3 8.79447 14.8808 -0.00471169 14.4998 0.105276 4.6743 2.67414
25.4 8.80133 14.8803 -0.00471169 14.6533 0.105272 4.77345 2.68466
25.5 8.80812 14.8798 -0.00471169 14.8083 0.105269 4.87471 2.69519
25.6 8.81484 14.8794 -0.00471169 14.965 0.105266 4.97812 2.70572
25.7 8.82149 14.8789 -0.00471169 15.1234 0.105262 5.08371 2.71624
25.8 8.82806 14.8784 -0.00471169 15.2834 0.105259 5.19154 2.72677
25.9 8.83457 14.878 -0.00471169 15.4451 0.105256 5.30165 2.73729
26 8.84101 14.8775 -0.00471169 15.6086 0.105252 5.4141 2.74782
26.1 8.84739 14.877 -0.00471169 15.7737 0.105249 5.52893 2.75835
26.2 8.85369 14.8765 -0.00471169 15.9406 0.105246 5.64618 2.76887
26.3 8.85993 14.8761 -0.00471169 16.1093 0.105242 5.76593 2.77939
26.4 8.86611 14.8756 -0.00471169 16.2797 0.105239 5.8882 2.78992
26.5 8.87222 14.8751 -0.00471169 16.4519 0.105236 6.01307 2.80044
26.6 8.87827 14.8747 -0.00471169 16.626 0.105232 6.14058 2.81097
26.7 8.88425 14.8742 -0.00471169 16.8018 0.105229 6.27079 2.82149
26.8 8.89017 14.8737 -0.00471169 16.9796 0.105226 6.40375 2.83201
26.9 8.89603 14.8732 -0.00471169 17.1592 0.105223 6.53954 2.84253
27 8.90183 14.8728 -0.00471169 17.3407 0.105219 6.67819 2.85306
27.1 8.90756 14.8723 -0.00471169 17.5241 0.105216 6.81978 2.86358
27.2 8.91324 14.8718 -0.00471169 17.7095 0.105213 6.96437 2.8741
27.3 8.91886 14.8714 -0.00471169 17.8968 0.105209 7.11202 2.88462
27.4 8.92441 14.8709 -0.00471169 18.086 0.105206 7.2628 2.89514
27.5 8.92991 14.8704 -0.00471169 18.2773 0.105203 7.41676 2.90566
27.6 8.93536 14.8699 -0.00471169 18.4706 0.105199 7.57399 2.91618
27.7 8.94074 14.8695 -0.00471169 18.666 0.105196 7.73454 2.9267
27.8 8.94607 14.869 -0.00471169 18.8633 0.105193 7.89849 2.93722
27.9 8.95134 14.8685 -0.00471169 19.0628 0.105189 8.06591 2.94774
28 8.95656 14.8681 -0.00471168 19.2644 0.105186 8.23688 2.95826
28.1 8.96173 14.8676 -0.00471168 19.4681 0.105183 8.41146 2.96878
28.2 8.96684 14.8671 -0.00471168 19.6739 0.105179 8.58974 2.97929
28.3 8.97189 14.8667 -0.00471168 19.882 0.105176 8.77178 2.98981
28.4 8.9769 14.8662 -0.00471168 20.0922 0.105173 8.95769 3.00033
28.5 8.98185 14.8657 -0.00471168 20.3046 0.105169 9.14752 3.01085
28.6 8.98675 14.8652 -0.00471168 20.5193 0.105166 9.34137 3.02136
28.7 8.99159 14.8648 -0.00471168 20.7362 0.105163 9.53933 3.03188
28.8 8.99639 14.8643 -0.00471168 20.9554 0.105159 9.74147 3.0424
28.9 9.00114 14.8638 -0.00471168 21.1769 0.105156 9.94789 3.05291
29 9.00584 14.8634 -0.00471168 21.4008 0.105153 10.1587 3.06343
29.1 9.01048 14.8629 -0.00471168 21.627 0.105149 10.3739 3.07394
29.2 9.01508 14.8624 -0.00471168 21.8556 0.105146 10.5937 3.08446
29.3 9.01964 14.8619 -0.00471168 22.0866 0.105143 10.8182 3.09497
29.4 9.02414 14.8615 -0.00471168 22.3201 0.105139 11.0474 3.10549
29.5 9.0286 14.861 -0.00471168 22.556 0.105136 11.2814 3.116
29.6 9.03301 14.8605 -0.00471168 22.7944 0.105133 11.5204 3.12651
29.7 9.03737 14.8601 -0.00471168 23.0353 0.105129 11.7645 3.13703
29.8 9.04169 14.8596 -0.00471168 23.2787 0.105126 12.0137 3.14754
29.9 9.04596 14.8591 -0.00471168 23.5247 0.105123 12.2682 3.15805
30 9.05019 14.8586 -0.00471168 23.7733 0.105119 12.528 3.16856
